type,x,y,time
mouse,263,419,1775454365337
mouse,271,417,1775454365343
mouse,280,413,1775454365350
mouse,294,397,1775454365355
mouse,324,372,1775454365361
mouse,356,341,1775454365367
mouse,390,297,1775454365374
mouse,427,247,1775454365381
mouse,462,198,1775454365388
mouse,492,148,1775454365395
mouse,518,102,1775454365402
mouse,537,55,1775454365409
mouse,547,10,1775454365416
mouse,384,28,1775454365501
mouse,382,90,1775454365507
mouse,384,164,1775454365514
mouse,394,243,1775454365521
mouse,412,326,1775454365528
mouse,436,402,1775454365535
mouse,461,473,1775454365541
mouse,492,554,1775454365555
mouse,518,600,1775454365561
mouse,539,623,1775454365567
mouse,544,630,1775454365573
mouse,559,630,1775454365579
mouse,569,630,1775454365585
mouse,578,630,1775454365591
mouse,588,611,1775454365597
mouse,604,557,1775454365604
mouse,619,503,1775454365611
mouse,632,444,1775454365617
mouse,653,385,1775454365624
mouse,678,326,1775454365631
mouse,703,273,1775454365638
mouse,728,229,1775454365645
mouse,755,190,1775454365657
mouse,779,157,1775454365664
mouse,794,135,1775454365670
mouse,805,123,1775454365676
mouse,811,117,1775454365682
mouse,812,115,1775454365688
mouse,813,115,1775454365694
mouse,813,117,1775454365712
mouse,813,129,1775454365718
mouse,806,185,1775454365724
mouse,793,262,1775454365730
mouse,781,334,1775454365736
mouse,766,401,1775454365743
mouse,748,461,1775454365750
mouse,731,536,1775454365757
mouse,712,590,1775454365764
mouse,700,614,1775454365771
mouse,690,623,1775454365777
mouse,681,625,1775454365791
mouse,675,620,1775454365797
mouse,672,587,1775454365803
mouse,675,559,1775454365809
mouse,680,525,1775454365815
mouse,692,484,1775454365821
mouse,708,435,1775454365827
mouse,728,385,1775454365833
mouse,752,335,1775454365840
mouse,778,289,1775454365847
mouse,803,247,1775454365853
mouse,824,209,1775454365860
mouse,840,183,1775454365868
mouse,852,166,1775454365874
mouse,856,161,1775454365881
mouse,858,159,1775454365894
mouse,859,159,1775454365900
mouse,860,162,1775454365906
mouse,861,179,1775454365912
mouse,860,244,1775454365918
mouse,856,317,1775454365925
mouse,852,385,1775454365930
mouse,841,457,1775454365937
mouse,828,521,1775454365944
mouse,808,613,1775454365951
mouse,834,565,1775454366056
mouse,856,528,1775454366062
mouse,875,501,1775454366069
mouse,886,489,1775454366082
mouse,895,483,1775454366088
mouse,899,482,1775454366094
mouse,904,485,1775454366100
mouse,908,499,1775454366106
mouse,912,543,1775454366112
mouse,911,597,1775454366118
mouse,907,663,1775454366125
mouse,896,737,1775454366131
mouse,881,809,1775454366138
mouse,810,813,1775454366194
mouse,822,760,1775454366201
mouse,843,702,1775454366208
mouse,870,641,1775454366221
mouse,904,583,1775454366227
mouse,940,521,1775454366233
mouse,978,462,1775454366239
mouse,1016,405,1775454366245
mouse,1048,354,1775454366251
mouse,1077,313,1775454366257
mouse,1101,281,1775454366263
mouse,1117,263,1775454366271
mouse,1128,254,1775454366277
mouse,1135,252,1775454366284
mouse,1139,253,1775454366291
mouse,1142,261,1775454366298
mouse,1144,282,1775454366305
mouse,1142,324,1775454366312
mouse,1132,372,1775454366319
